Code,CountryCode,Latitude,Longitude,State
36024,US,32.65398,-86.036912,AL
36025,US,32.543226,-86.330555,AL
36026,US,32.786696,-86.12217,AL
36027,US,32.02427,-85.209039,AL
36028,US,31.515353,-86.359441,AL
36029,US,32.165342,-85.915349,AL
36030,US,31.883355,-86.824247,AL
36031,US,32.226001,-85.728432,AL
36032,US,31.9948,-86.590341,AL
36033,US,31.646908,-86.757035,AL
36034,US,31.612813,-86.108668,AL
36035,US,31.822327,-86.144911,AL
36036,US,31.974798,-86.154336,AL
36037,US,31.781213,-86.602073,AL
36038,US,31.433586,-86.414687,AL
36039,US,32.30148,-85.800994,AL
36040,US,32.176287,-86.675491,AL
36041,US,31.963969,-86.318184,AL
36042,US,31.873381,-86.423716,AL
36043,US,32.203982,-86.427631,AL
36045,US,32.619083,-85.948303,AL
36046,US,31.996353,-86.403449,AL
36047,US,32.079821,-86.512121,AL
36048,US,31.797848,-85.589604,AL
36049,US,31.76088,-86.276331,AL
36051,US,32.682642,-86.500691,AL
36052,US,32.165702,-86.034657,AL
36053,US,32.077477,-85.468803,AL
36054,US,32.474497,-86.360076,AL
36057,US,32.308372,-86.102498,AL
36061,US,31.825336,-85.780697,AL
36062,US,31.848575,-86.20783,AL
36064,US,32.304807,-86.075785,AL
36065,US,32.067965,-86.058364,AL
36066,US,32.488177,-86.42622,AL
